quilates,porcentaje profundidad,ancho superior,price
0.24,62.5,58.0,419
0.51,60.1,56.0,1813
1.01,61.1,62.0,3948
0.5,61.4,57.0,1684
0.31,62.5,55.0,802
0.3,61.9,58.0,766
2.05,59.7,59.0,17237
0.53,59.8,60.0,3827
1.84,62.4,56.0,8828
0.59,61.4,56.0,1755
0.51,62.5,57.0,1546
1.06,62.1,57.0,8954
1.11,62.2,54.0,9144
0.32,63.1,56.0,421
0.55,61.9,54.0,1402
0.7,62.9,59.0,2212
0.42,62.2,57.0,700
0.52,60.9,56.0,1991
1.0,59.6,60.0,4997
0.33,61.7,55.0,1052
0.25,62.5,59.0,576
1.06,60.1,57.0,8626
0.58,60.9,55.0,1569
0.3,60.3,57.0,495
1.08,61.0,56.0,7553
0.94,62.0,57.0,3634
0.82,61.3,57.0,3113
0.33,61.7,59.0,965
0.7,63.3,54.0,3267
0.72,61.5,54.0,2804
1.11,58.4,60.0,4842
0.92,62.3,59.0,3377
1.06,60.2,59.0,4900
0.73,59.3,61.0,1207
0.31,62.3,55.0,732
2.0,65.1,56.0,14430
1.21,63.4,57.0,5290
0.7,61.5,58.0,2010
0.51,62.2,58.0,1662
1.5,62.4,59.0,11092
0.33,62.4,58.0,521
1.2,62.5,54.4,9785
0.9,61.2,59.0,4158
0.81,61.9,60.0,3643
0.9,62.1,57.0,4419
0.4,62.5,60.0,1200
0.72,63.5,55.0,2700
0.45,62.0,54.0,852
0.74,61.9,55.0,2997
0.7,63.6,58.0,2964
0.3,63.0,56.0,776
0.3,62.4,56.0,911
0.37,59.5,58.0,746
1.13,61.0,56.4,7808
0.59,62.7,56.0,2125
1.09,62.3,59.0,4372
0.52,61.5,55.0,1600
1.56,62.0,57.0,11345
0.92,60.5,57.0,3854
0.32,61.9,57.0,589
0.34,62.6,54.0,880
1.03,63.9,59.0,4769
0.32,62.1,55.0,918
0.5,62.0,60.0,1436
0.54,63.0,57.0,1255
2.03,61.5,57.0,12154
2.09,62.5,60.0,16210
2.4,62.8,57.0,11988
0.8,61.9,54.0,3682
0.71,60.5,56.0,2776
1.27,62.6,59.0,6116
1.75,61.4,59.0,13081
1.01,61.7,57.0,4044
1.03,59.5,60.0,5791
0.35,62.3,55.0,1024
1.05,60.9,60.0,3457
0.54,62.2,56.0,2080
1.3,61.5,55.0,8954
0.58,63.3,58.0,1117
0.29,62.3,55.0,607
0.56,61.8,55.0,1770
0.52,62.1,57.0,1956
1.37,62.8,57.0,6181
1.01,62.9,58.0,6108
2.15,61.5,60.0,18470
0.43,60.5,59.0,871
1.21,62.2,54.1,7231
1.5,61.4,56.0,7636
0.4,61.4,54.0,1229
0.3,60.6,57.0,684
0.81,63.8,58.0,2641
0.39,60.9,55.0,839
0.55,60.9,57.0,1840
0.71,62.6,59.0,3464
1.2,59.7,63.0,5085
0.76,62.6,56.0,2652
0.31,61.4,58.0,625
1.21,62.4,58.0,6248
0.23,63.0,56.0,414
1.12,61.7,58.0,4811
0.7,63.1,57.0,2161
0.79,62.5,57.0,2425
0.51,61.7,58.0,1974
1.44,63.0,55.0,10725
1.57,62.1,56.0,12098
0.23,62.5,55.0,511
1.04,61.5,59.0,5504
1.41,61.1,57.0,16545
0.79,62.1,54.0,3107
1.15,61.1,55.0,10316
0.3,61.8,57.0,658
0.41,62.4,58.0,1192
0.41,61.0,57.0,1151
0.54,61.3,56.0,2041
1.0,63.4,58.0,4036
0.34,62.0,55.0,1033
0.31,61.5,56.0,865
0.49,61.3,57.0,1444
0.31,62.1,56.0,872
0.31,61.4,56.0,772
2.07,67.7,56.0,6503
1.1,61.3,56.0,8775
1.2,61.9,58.0,7372
1.01,61.6,56.0,16087
1.0,62.4,62.0,5544
0.59,61.7,55.0,2159
1.11,61.0,59.0,3205
1.25,59.4,62.0,5320
0.9,60.8,58.0,3890
1.1,61.2,62.0,6653
0.55,61.7,54.0,1260
0.5,60.5,62.0,1715
0.92,62.3,56.0,3170
0.7,62.4,56.0,2196
1.02,60.0,60.0,4284
0.7,62.4,55.0,2614
0.26,63.0,58.0,597
0.51,62.4,57.0,1569
1.51,59.8,57.0,13214
0.33,61.7,54.0,768
0.41,59.6,59.0,1015
1.05,62.0,57.0,3528
0.3,62.0,57.0,603
1.55,61.9,60.0,8873
1.51,63.1,60.0,13811
1.7,59.8,59.0,12622
0.5,62.9,56.0,1569
1.85,62.4,57.0,14375
1.18,64.2,62.0,4678
0.44,61.9,55.0,1073
0.3,61.6,55.0,605
0.53,61.8,55.0,1753
0.23,62.3,55.0,505
1.0,58.1,64.0,4608
0.7,62.3,58.0,2476
0.56,61.5,57.0,2429
0.51,63.0,59.0,1709
2.04,61.2,56.0,15874
0.47,65.2,56.0,1613
0.4,64.2,57.0,617
0.91,58.3,59.0,4193
1.2,59.4,56.0,9904
1.01,60.6,56.0,6733
0.46,62.2,54.0,1083
1.04,61.8,56.0,7467
1.11,62.2,56.0,7326
1.0,59.1,59.0,3696
2.01,60.5,60.0,13400
0.71,61.1,57.0,2332
0.32,61.8,55.0,954
1.28,62.2,56.0,12958
0.31,62.6,57.0,625
0.53,62.1,62.0,1206
1.0,64.3,58.0,4427
0.4,61.2,56.0,1059
0.35,61.4,56.0,491
1.32,62.5,57.0,5808
2.19,60.8,60.0,15169
1.01,62.0,56.0,6533
0.29,61.4,61.0,481
0.58,61.2,59.0,1307
1.2,62.0,60.0,5698
0.4,60.7,58.0,1088
1.06,61.8,55.0,3544
0.71,62.5,55.0,2788
0.4,60.6,58.0,1008
0.72,61.1,56.0,2177
1.12,60.7,61.0,3266
1.57,61.4,56.0,10362
0.43,61.6,59.0,905
1.23,62.3,57.0,6046
1.08,61.4,57.0,4355
1.01,64.5,58.0,4606
1.34,61.3,58.0,11118
0.32,60.3,58.0,779
0.8,61.8,59.0,3066
0.4,64.1,57.0,695
1.18,61.4,56.0,5182
1.51,61.9,58.0,6038
0.4,62.1,55.0,1158
0.61,62.0,55.0,1742
0.3,61.9,59.0,605
0.31,59.0,59.0,625
1.01,62.5,59.0,6159
0.32,61.8,55.0,926
0.3,60.6,60.0,526
0.62,61.8,55.0,1818
0.78,61.6,56.0,2970
1.12,61.8,58.0,4624
1.02,62.3,58.0,5301
0.78,61.9,57.0,2799
0.54,61.7,57.0,1944
0.61,61.6,57.0,2161
0.4,61.2,56.0,1199
0.71,61.4,58.0,2559
0.3,61.4,60.0,1013
0.8,62.6,56.1,2677
0.52,62.3,54.0,1629
1.02,62.1,59.0,6058
0.31,62.0,54.0,635
0.76,61.7,62.0,3064
0.59,62.3,55.0,1968
0.75,63.0,58.0,2180
1.26,62.2,58.0,6332
1.0,62.5,62.0,4466
0.31,61.1,56.0,865
1.51,62.6,60.0,8794
0.32,62.7,60.0,990
0.53,64.2,56.0,1688
0.31,62.4,54.0,872
0.34,61.4,56.0,1033
0.3,61.3,55.0,873
1.01,62.8,61.0,3959
0.3,62.9,54.0,675
0.33,61.9,56.0,1021
0.3,61.5,56.0,863
0.73,61.3,61.0,2037
0.32,61.6,57.0,828
1.06,62.7,55.0,6411
0.34,62.2,57.0,596
0.31,59.8,57.0,695
0.36,59.5,56.0,858
0.9,62.7,59.0,3489
1.01,61.5,60.0,6108
1.06,62.3,58.0,6838
1.07,63.0,55.0,5091
0.3,62.1,56.0,658
0.4,61.9,56.0,1136
0.63,62.1,57.0,2789
0.5,61.3,58.0,1746
0.33,61.9,59.0,854
0.33,62.1,53.0,730
0.75,62.3,57.0,1923
0.65,59.3,57.0,2510
2.0,63.1,53.0,16380
1.57,62.3,59.0,12304
0.64,61.8,54.0,4084
0.3,61.6,53.0,694
1.04,63.9,55.0,6653
0.56,59.8,57.0,1814
0.54,63.0,60.0,1356
0.7,61.6,55.0,3145
0.74,61.3,59.0,2527
0.23,63.3,56.0,530
0.4,62.0,56.0,1035
0.27,61.6,56.0,470
0.31,60.6,55.0,675
1.73,61.7,56.0,12998
0.96,62.7,58.0,3768
0.32,62.5,57.0,758
1.51,65.8,57.0,8210
1.0,61.3,60.0,2818
0.51,63.3,56.0,1239
0.91,63.6,56.0,3610
1.23,63.1,57.6,4870
1.0,62.2,59.0,4390
2.0,61.1,59.0,13921
1.02,62.7,57.0,3913
1.04,63.1,55.0,4414
0.32,62.0,56.0,828
1.52,62.8,58.0,8631
0.42,61.4,55.0,1052
1.04,64.0,60.0,3581
0.33,62.2,59.0,579
2.01,62.1,60.0,9658
0.33,61.7,55.0,838
0.41,61.3,55.0,1007
0.31,60.0,62.0,707
1.03,62.6,58.0,5498
0.78,62.4,59.0,2586
1.2,62.6,58.0,5376
0.57,60.5,56.0,1976
0.83,65.1,59.0,2133
0.91,62.9,58.0,4665
0.35,60.7,58.0,984
0.23,60.7,59.0,402
0.31,62.3,55.0,541
1.2,60.2,58.0,6604
0.4,63.2,56.0,898
0.31,60.0,59.0,942
0.74,61.3,58.0,3009
0.49,58.9,60.5,1430
0.55,61.2,57.0,2107
0.35,61.5,55.0,945
1.24,62.1,55.0,5889
1.09,61.6,55.0,9786
1.0,66.5,59.0,3965
0.32,61.0,60.0,505
1.01,61.8,60.0,5443
0.31,61.9,56.0,942
1.0,62.6,60.0,4116
0.3,63.4,55.0,878
0.96,67.4,62.0,1808
0.5,60.2,64.0,1138
1.01,62.4,58.0,6951
0.7,59.9,58.0,2306
0.9,62.2,60.0,6289
0.35,62.3,55.0,906
0.27,59.7,56.0,760
1.52,61.8,58.0,10316
1.05,62.8,58.0,6070
0.23,59.6,57.0,530
1.0,62.7,56.0,5755
0.31,63.9,56.0,802
0.3,62.6,56.0,819
0.3,61.6,56.0,863
0.73,61.6,56.0,3463
0.59,62.0,56.0,2319
0.3,60.7,59.0,741
0.31,61.0,55.0,625
1.02,62.3,58.0,3119
0.31,60.6,59.0,533
0.52,61.1,55.0,1689
0.42,61.6,55.0,690
0.31,59.7,60.0,766
1.51,61.6,57.0,9352
0.41,63.1,56.0,878
0.48,59.6,59.0,1020
0.31,61.2,59.0,734
0.32,61.4,55.0,720
0.61,60.5,57.0,1970
0.31,61.2,60.0,625
1.5,62.8,57.0,10959
1.23,61.1,57.0,8128
1.24,62.0,55.0,6076
0.4,61.5,57.0,871
0.7,63.1,55.0,2633
0.32,62.7,55.0,692
0.55,62.3,61.0,1669
0.7,59.1,62.0,2569
1.02,62.0,59.0,6126
0.33,61.1,59.0,492
0.9,63.2,57.0,3484
1.01,62.9,57.0,4496
1.0,60.7,59.0,4311
1.15,63.0,60.0,7032
0.33,61.4,56.0,810
0.35,63.0,57.0,827
1.0,61.6,59.0,8888
0.77,61.5,56.0,3253
2.14,62.8,57.0,14065
1.01,63.6,59.0,9451
0.54,58.8,61.0,1836
1.93,62.8,58.0,17353
1.19,59.5,59.0,4498
0.72,62.3,57.0,2831
1.0,60.6,62.0,5410
0.32,62.3,53.0,1018
0.4,62.2,55.0,1080
0.41,62.0,56.0,1007
0.53,61.1,55.0,1549
1.0,61.9,59.0,5606
0.31,61.7,54.6,502
1.22,61.2,57.0,4676
0.66,58.1,59.9,2101
0.9,61.4,56.0,5387
1.45,60.6,61.0,9683
1.16,60.2,63.0,7803
0.3,61.5,56.0,844
0.88,60.7,55.0,3921
1.01,63.7,57.0,4989
0.42,62.3,57.0,1040
0.4,62.7,57.0,1158
0.36,62.6,57.0,505
0.91,62.0,60.0,4969
0.41,62.5,57.0,755
2.12,60.6,59.0,15235
1.02,61.4,58.0,4766
1.29,61.9,58.0,8530
1.2,62.6,58.0,5699
0.43,62.4,56.0,890
1.5,61.3,59.0,8662
0.33,60.4,59.0,434
0.4,59.4,60.0,952
0.31,61.4,56.0,625
1.07,61.7,56.1,5002
1.18,58.7,60.0,4956
2.06,61.0,59.0,14982
0.31,60.5,60.0,872
1.31,62.5,55.0,5480
0.71,62.2,55.0,2360
1.51,63.0,55.0,9302
0.51,57.6,56.0,1885
1.2,62.5,55.0,5964
1.01,61.8,60.0,3499
0.33,61.9,55.0,858
1.05,59.0,59.0,5370
0.23,62.4,58.0,530
0.4,62.2,56.0,694
0.38,60.0,60.0,1064
0.31,61.2,56.0,921
1.02,63.0,58.0,4678
0.32,61.8,59.0,1020
0.9,63.6,55.0,4685
1.54,60.3,60.0,9081
1.5,63.5,58.0,7459
0.41,64.2,55.0,989
1.8,57.9,58.0,12308
0.4,59.6,61.0,820
0.7,61.2,57.0,2947
0.62,62.2,55.0,1959
1.01,62.1,61.0,3966
0.39,60.6,56.0,1209
0.9,60.7,57.0,5242
0.3,61.5,57.0,489
1.23,59.1,58.0,9694
0.41,60.5,56.0,909
1.01,62.6,61.0,4622
1.05,63.1,60.0,4692
1.26,62.5,59.0,9720
1.25,61.0,56.0,6352
2.24,61.8,58.0,10913
2.08,61.7,57.0,6150
0.31,60.5,61.0,853
1.1,58.8,61.0,5606
1.03,61.3,56.0,7648
0.38,61.3,56.0,865
0.3,60.0,60.0,675
0.96,62.7,58.0,3229
1.09,61.3,60.0,7588
0.9,60.7,58.0,3145
0.36,63.5,54.0,568
0.41,62.1,56.0,1076
1.51,61.5,61.0,10277
1.02,60.2,57.0,4798
0.54,63.3,55.0,1660
1.16,60.1,62.0,5587
0.7,61.1,58.0,2107
0.5,59.4,60.0,1293
1.15,62.1,55.0,5626
1.07,61.3,57.0,7821
0.35,61.6,55.0,628
0.41,62.0,56.0,961
0.38,62.2,58.0,941
0.52,61.5,55.0,1593
1.12,60.3,60.0,3017
1.21,60.1,57.0,9873
0.71,63.1,57.0,2202
0.38,59.2,58.0,1257
0.43,58.0,57.0,696
0.39,62.7,57.0,1290
0.46,63.0,57.0,1139
0.31,62.1,54.0,698
1.0,63.2,54.0,4088
0.53,62.0,55.0,1236
0.5,66.9,56.0,969
0.3,62.7,60.0,675
1.07,60.2,59.0,6479
0.37,59.8,59.0,957
0.9,63.5,61.0,4601
0.72,62.7,58.0,2951
0.33,61.3,59.0,950
0.3,61.1,55.0,837
0.36,61.4,57.0,631
0.41,62.3,55.0,1076
0.96,60.7,55.0,2801
1.03,60.7,60.0,4503
0.32,61.5,57.0,730
1.21,61.9,58.0,4968
0.3,61.8,56.0,624
1.02,61.1,59.0,4541
1.52,62.7,56.0,8631
0.24,61.7,57.0,461
0.33,62.3,57.0,723
0.41,62.8,55.0,1076
1.0,62.9,59.0,6245
0.42,62.7,55.0,882
1.15,61.7,59.0,5193
0.76,61.2,57.0,3007
0.94,62.3,57.0,4575
0.32,61.2,57.0,1300
0.32,62.2,54.5,567
1.25,61.2,57.0,5810
1.01,62.1,56.0,4886
1.5,62.9,56.0,8058
0.25,61.1,58.0,595
0.73,59.7,59.0,2246
1.51,62.4,57.0,7695
1.11,61.7,54.0,5051
2.01,60.1,57.0,15562
0.53,62.2,54.0,1205
0.7,64.3,57.0,2625
1.04,62.3,58.0,4181
0.5,61.0,58.0,958
0.58,59.3,58.0,1408
1.02,60.3,59.0,4558
0.91,61.6,57.0,3034
0.52,61.1,58.0,1815
0.52,61.1,56.0,1625
0.3,60.6,58.0,526
0.31,62.3,54.0,732
0.53,63.9,55.0,1318
0.72,60.5,57.0,3102
1.18,62.8,57.0,9304
0.3,62.4,59.0,844
1.0,57.4,59.0,4032
0.31,62.3,55.0,802
1.51,57.9,62.0,15420
0.21,61.6,59.0,386
0.34,62.5,57.0,1033
1.51,63.6,60.0,7815
0.71,60.7,56.0,2795
1.07,60.5,62.0,4949
2.04,62.4,57.0,13825
0.71,62.0,61.0,3420
0.51,60.8,57.0,1363
0.71,59.5,58.0,2918
1.55,62.5,61.0,8174
1.01,63.0,57.0,5172
0.7,62.4,58.0,1971
0.81,61.5,56.0,3373
0.75,61.1,59.0,2659
0.7,61.1,61.0,1952
0.5,61.0,61.0,1436
0.5,61.2,55.0,1411
0.7,60.9,62.0,2066
0.3,61.8,60.0,608
0.5,61.0,57.0,2165
1.52,61.0,59.0,10214
0.51,61.3,56.0,1406
0.5,66.8,56.0,1367
0.44,63.2,59.0,684
1.05,61.1,58.0,4145
0.7,62.8,59.0,1790
0.75,61.1,59.0,2814
1.72,64.6,58.0,8264
1.57,61.8,55.0,11702
0.36,61.7,59.0,1102
0.3,62.4,56.0,658
0.38,62.2,55.0,1112
0.32,60.8,57.0,1080
1.22,62.3,57.0,5296
1.04,62.0,56.0,4752
0.56,61.6,55.0,1649
1.53,62.2,56.0,13994
0.35,60.5,57.0,706
0.9,61.2,61.0,3484
0.27,62.5,56.0,566
0.7,62.4,58.0,2382
0.34,62.0,56.0,626
1.21,59.5,65.0,6871
1.35,62.7,57.0,6860
0.7,58.8,58.0,2536
0.62,61.2,59.0,1253
0.35,62.1,58.0,644
1.51,63.3,60.0,12872
0.51,63.5,54.0,1343
0.54,61.8,56.0,1065
0.58,62.1,55.0,1790
0.3,61.7,58.0,844
0.75,62.4,56.0,2083
0.75,61.7,55.0,2609
2.07,58.9,61.0,13786
0.59,62.0,56.0,1878
0.71,61.0,58.0,1883
0.34,61.9,54.0,863
0.5,60.3,58.0,1433
0.72,60.6,57.0,2114
0.35,64.0,55.0,588
1.25,61.4,59.0,6399
0.74,62.0,57.0,3593
0.31,61.3,58.0,443
0.54,61.9,57.0,1981
0.55,60.6,58.0,1263
1.0,59.4,62.0,3881
0.41,62.3,58.0,932
1.02,61.6,58.0,3513
0.91,62.0,62.0,3463
1.22,62.3,58.0,5233
0.58,61.8,56.0,1219
2.3,60.6,59.0,14042
1.52,64.6,58.0,7746
0.58,60.3,57.0,1608
0.92,60.9,57.0,4328
1.2,62.0,59.0,8279
0.51,59.0,59.0,1632
0.7,62.7,54.0,4244
1.04,63.2,57.0,7399
0.82,63.1,52.0,2716
1.01,62.5,58.0,6606
0.3,60.5,60.0,473
1.08,61.8,55.0,6884
0.41,62.6,55.0,683
0.32,62.5,55.0,778
1.07,62.4,59.0,5498
1.68,61.1,60.0,15309
0.39,63.0,61.0,834
0.4,62.2,58.0,737
0.5,62.8,57.0,1838
0.32,59.5,61.0,828
0.7,62.5,57.0,3683
0.51,59.5,61.0,1406
1.01,61.6,58.0,8401
0.3,62.2,57.0,665
1.03,63.3,57.0,4401
1.22,62.4,54.0,10622
1.01,63.3,54.0,4749
1.7,59.8,59.0,7797
0.38,61.4,57.0,653
0.93,62.8,56.0,3576
2.04,60.7,62.0,15217
0.39,58.4,62.0,1053
1.02,61.5,56.0,7916
0.7,61.1,56.0,3017
0.3,61.7,58.0,526
0.55,61.8,55.0,1273
1.06,62.8,55.0,7160
1.72,60.5,59.0,6962
0.41,61.5,55.0,1243
1.04,61.0,59.0,4811
0.53,62.4,57.0,1363
0.62,61.9,55.0,2469
0.54,62.4,58.0,1691
0.54,62.4,57.0,1662
0.74,61.8,60.0,2391
0.34,62.4,58.0,803
0.4,63.9,55.0,687
1.62,64.2,62.0,6112
0.72,61.7,54.8,3548
0.31,61.6,56.0,680
1.05,64.8,55.0,2717
0.98,61.8,58.0,4308
0.4,62.9,55.0,912
0.51,63.6,58.0,1308
1.01,62.3,58.0,6310
0.34,63.3,54.0,574
0.4,60.6,55.8,672
0.38,63.2,59.0,538
1.54,61.6,58.0,10164
0.34,60.6,60.0,650
0.75,60.6,56.0,2415
0.3,61.6,56.0,709
0.7,63.4,60.0,2394
1.51,60.4,58.0,11480
1.21,61.6,58.0,8505
0.87,61.4,57.0,2300
0.3,62.1,55.0,475
0.93,63.6,61.0,3000
1.01,63.2,56.0,9012
1.71,63.7,58.0,13068
0.33,60.2,57.0,1002
0.71,60.7,58.0,1643
0.41,62.1,55.0,1153
1.02,63.4,56.0,3534
0.31,62.0,54.0,877
1.1,60.1,57.0,4624
1.5,63.7,57.0,10669
0.58,62.2,58.0,1580
0.4,63.7,56.0,882
0.57,61.1,59.0,1571
0.58,62.1,55.0,3732
1.26,60.9,56.0,10020
0.74,62.3,54.0,2762
0.71,61.1,56.0,3701
1.29,61.9,58.0,6126
0.76,59.6,58.0,4504
0.31,60.7,56.0,942
0.77,61.6,60.0,2457
0.7,61.6,55.0,3064
1.51,60.5,54.6,8637
0.9,63.6,61.0,2226
0.4,62.6,57.0,912
1.52,63.4,58.0,11986
0.46,61.7,57.0,974
0.3,62.3,54.0,475
0.31,60.8,61.0,802
0.34,61.8,56.0,803
1.03,63.2,58.0,2988
0.27,61.6,57.0,393
1.01,62.7,54.0,4276
1.29,62.3,54.4,10727
1.09,62.5,57.0,5527
0.5,61.5,57.0,1612
0.52,62.5,58.0,1653
0.91,63.9,60.0,3485
0.73,60.9,57.0,3307
0.25,62.2,54.0,460
0.3,61.0,61.0,552
0.43,62.8,58.0,839
0.3,63.5,54.0,878
0.51,62.7,57.0,1046
1.52,62.7,59.0,14066
0.3,62.1,57.0,694
0.7,61.9,57.0,3127
2.29,62.5,58.0,17666
0.3,62.5,59.0,629
0.56,60.5,57.0,2442
1.22,61.7,56.0,11111
1.2,62.5,58.0,5082
1.5,61.3,58.0,13506
0.86,62.3,56.0,4665
0.7,60.3,60.0,3115
0.42,61.7,58.0,945
0.9,60.7,58.0,4082
0.32,62.2,55.0,828
1.05,61.8,57.0,4608
0.6,61.3,59.0,1338
1.07,63.1,59.0,4949
0.35,61.9,56.0,760
0.32,62.1,56.0,972
0.4,61.4,57.0,926
1.19,63.7,57.0,5331
0.41,63.3,56.0,1255
0.42,62.8,59.0,1024
0.75,59.1,59.0,2622
0.5,60.5,57.0,1449
1.09,61.8,59.0,4322
0.9,62.4,60.0,3431
1.16,60.4,59.0,5457
0.58,61.9,54.0,1865
0.31,61.5,54.0,789
0.38,62.2,59.0,866
0.7,61.6,60.0,2593
0.37,59.5,61.0,666
0.42,62.2,56.0,847
0.31,62.2,57.0,942
1.02,60.3,60.0,6032
0.59,62.6,61.0,1590
1.02,61.0,58.0,7503
0.58,62.6,57.0,1373
1.06,61.9,56.0,13588
2.02,64.6,59.0,13399
1.51,62.1,59.0,12291
0.51,61.9,58.0,1928
0.32,61.3,56.0,523
1.11,61.9,57.0,4457
0.9,61.2,57.0,3391
1.63,63.7,58.0,9730
0.42,61.8,59.0,1031
0.36,62.3,56.0,821
0.75,62.0,60.0,2273
0.9,61.7,57.0,4657
0.31,62.3,60.0,625
2.11,65.0,56.0,12633
1.01,59.1,59.0,5904
0.52,59.5,59.0,1338
0.9,62.8,55.0,3104
0.38,62.0,57.0,1030
0.93,62.5,55.0,3856
0.52,62.9,56.0,1385
0.58,58.5,55.0,1407
0.71,61.5,55.0,2525
0.53,61.7,56.0,1631
1.27,61.1,60.0,9371
1.02,60.9,59.0,8616
0.32,61.5,60.0,561
0.26,63.4,59.0,554
0.37,61.9,59.0,681
0.5,63.3,58.0,1436
0.91,61.7,56.0,4066
0.23,62.1,57.0,530
0.32,63.3,57.0,589
2.13,61.5,58.0,17045
0.51,63.1,54.0,1220
0.9,64.6,54.0,3725
0.32,62.1,54.0,758
0.36,61.5,56.0,770
0.54,61.9,56.0,1260
0.7,61.4,54.0,2184
0.31,62.5,53.0,684
0.38,62.2,53.8,831
0.44,60.8,57.0,990
0.72,59.8,58.0,2345
0.45,60.7,60.4,1246
1.23,61.3,53.0,7276
1.21,64.0,59.0,3415
0.56,61.4,57.0,2066
0.31,59.4,58.0,583
0.91,61.1,58.0,3723
1.5,61.1,56.7,7520
0.32,58.9,63.0,624
0.9,61.6,58.0,3457
0.7,60.0,57.0,2335
0.6,61.1,58.0,2560
0.75,63.4,57.0,2674
0.37,62.3,56.0,1041
1.02,63.4,57.0,4796
0.7,61.2,56.0,3206
0.7,61.8,54.0,2593
0.6,62.7,58.0,1819
0.31,62.4,56.0,801
0.42,61.8,57.0,984
1.51,62.7,58.0,16518
0.4,62.2,62.0,882
0.32,62.3,56.0,926
0.51,59.4,61.9,1376
0.3,60.1,57.0,895
0.41,62.9,59.0,827
1.23,61.2,58.0,9333
0.7,61.6,56.0,3330
0.33,61.9,58.0,627
0.52,60.8,56.0,1343
1.21,63.7,57.0,6025
0.3,62.0,58.0,710
1.01,59.4,58.0,6439
1.05,62.8,57.0,4116
2.15,62.9,57.0,6357
0.3,60.8,57.0,911
0.41,62.7,56.0,1349
0.33,62.0,55.0,838
0.9,64.5,61.0,4125
0.32,62.4,54.0,936
1.62,62.4,57.0,11114
0.71,62.7,58.0,2853
0.6,62.0,55.0,2444
1.17,61.7,57.0,10342
0.26,62.6,56.0,448
0.51,61.5,57.0,1875
0.43,63.3,57.0,669
0.3,61.1,58.0,638
0.31,62.1,54.0,942
1.0,64.7,58.0,3541
1.14,62.3,56.0,5501
0.72,62.5,58.0,2832
0.41,63.3,60.0,680
0.51,63.1,58.0,1668
1.23,63.0,55.0,10580
1.01,61.6,57.0,6773
0.34,60.9,56.0,974
0.7,63.2,59.0,1235
1.0,64.0,55.0,3941
0.9,63.1,58.0,2857
0.71,64.2,57.0,1715
1.03,57.2,59.0,3743
1.02,65.3,59.0,3838
0.41,63.1,54.0,638
0.86,60.2,56.0,3284
0.7,58.6,60.0,2657
0.7,64.3,57.0,1851
1.04,61.8,58.0,8098
0.24,63.5,53.0,419
0.34,59.8,57.0,2346
0.33,60.8,58.0,666
0.59,62.4,55.0,1664
0.7,63.7,55.0,2192
0.71,62.2,57.0,3073
2.01,62.9,59.0,18041
0.53,61.4,57.0,2175
0.32,60.7,57.0,554
0.69,61.6,56.0,3784
0.4,62.2,55.0,667
0.53,63.0,60.0,1127
2.14,69.4,57.0,5405
1.26,61.5,59.0,7845
1.02,63.5,56.0,5758
0.4,60.4,56.0,994
1.54,60.9,59.0,11897
0.52,61.8,55.0,1689
0.91,61.1,55.0,3246
0.37,61.5,59.0,791
0.57,61.6,56.0,1355
0.3,59.4,60.0,848
1.0,63.1,56.0,4295
0.55,62.0,56.0,1636
1.07,62.4,55.0,6648
0.33,60.5,58.0,666
0.7,61.2,55.0,2249
0.76,60.1,57.0,2607
0.37,59.6,60.0,971
0.27,61.0,57.0,620
1.0,61.9,56.0,5292
2.0,61.5,59.0,13675
0.3,58.5,64.0,648
0.5,61.5,57.0,2236
0.5,62.4,61.0,1035
1.0,64.4,57.0,4295
0.28,63.0,59.0,487
0.32,60.5,59.0,702
0.9,60.4,59.0,3924
0.3,62.8,57.0,605
0.5,59.1,61.0,1331
0.7,60.2,56.0,2435
2.0,62.2,59.0,12196
0.33,62.0,54.2,660
1.0,61.7,63.0,4493
0.41,62.7,58.0,683
0.91,64.5,60.0,3119
1.01,61.2,57.0,5443
0.32,61.9,58.0,648
1.01,60.6,61.0,3959
0.32,61.7,55.0,1014
1.39,62.6,57.0,3914
1.53,59.3,60.0,8270
1.5,60.1,61.0,7819
1.51,62.8,56.0,14165
0.32,61.2,56.0,548
1.5,62.6,58.0,14918
0.9,61.8,60.0,4617
0.7,62.0,60.0,2048
1.0,62.9,56.0,5702
0.72,62.5,57.0,3465
0.37,59.5,59.0,1041
1.0,62.1,64.0,5174
1.05,61.8,66.0,2396
2.1,60.7,61.0,14394
1.4,62.0,60.0,7225
0.53,60.2,55.0,1610
0.71,63.5,57.0,2207
0.9,61.8,58.0,4082
1.21,62.9,57.0,6302
0.56,62.1,57.0,1819
0.32,62.3,54.0,645
1.09,61.4,56.0,7055
0.3,60.6,56.0,526
0.58,61.8,55.0,1911
1.02,61.9,57.0,9212
1.02,62.6,59.0,7602
1.76,62.2,60.0,13503
1.58,62.7,60.0,13995
0.31,61.4,59.0,924
1.24,62.6,54.0,7092
0.61,61.8,56.0,2556
0.38,61.3,60.0,700
0.28,64.9,57.0,492
1.09,60.2,61.0,5845
0.35,61.5,56.0,1063
0.41,62.8,57.0,1151
0.5,62.2,53.0,1154
0.53,61.3,56.0,1952
0.5,62.0,56.0,1449
0.43,60.7,57.0,1143
0.33,62.4,55.0,750
0.77,62.1,58.0,3040
0.7,61.6,57.0,3127
0.33,61.5,55.0,1114
1.1,60.5,57.0,9486
0.31,61.9,56.0,759
2.13,62.6,56.0,12356
